,group,class,subclass,details,column5,column6,column7,column8,column9,column10,column11,column12
2168,,,,n.e.c.,,,,,,,,
2169,,2825,,"manufacture of machinery for food, beverage and tobacco processing",,,,,,,,
2170,,,,This class excludes:,,,,,,,,
2171,,,,"- manufacture of food and milk irradiation equipment, see 2660",,,,,,,,
2172,,,,"- manufacture of packing, wrapping and weighing machinery, see 2819",,,,,,,,
2173,,,,#NAME?,,,,,,,,
2174,,,,"other crops (except seeds, grains and dried leguminous vegetables), see",,,,,,,,
2175,,,2821,2821,,,,,,,,
2176,,,28251,Manufacture of machinery for the dairy industry,,,,,,,,
2177,,,28252,Manufacture of machinery for the grain milling industry,,,,,,,,
2178,,,28253,"Manufacture of presses, crushers etc. used to make wine, cider, fruit juices",,,,,,,,
2179,,,,etc.,,,,,,,,
2180,,,28254,"Manufacture of machinery for the bakery industry or for making macaroni,",,,,,,,,
2181,,,,"noodles, pasta etc.",,,,,,,,
2182,,,28255,Manufacture of machinery for the extraction or preparation of animal or,,,,,,,,
2183,,,,vegetable fats or oils,,,,,,,,
2184,,,28256,Manufacture of machinery for the preparation of tobacco and for the making,,,,,,,,
2185,,,,"of cigarettes or cigars, or for pipe or chewing tobacco or snuff",,,,,,,,
2186,,,28259,Manufacture of other machinery for the industrial preparation or manufacture,,,,,,,,
2187,,,,of food or drink n.e.c. (including tea or coffee making machines),,,,,,,,
2188,,2826,,"manufacture of machinery for textile, apparel and leather production",,,,,,,,
2189,,,,This class excludes:,,,,,,,,
2190,,,,"- manufacture of paper or paperboard cards for use on jacquard machines,",,,,,,,,
2191,,,,see 1709,,,,,,,,
2192,,,,"- manufacture of domestic washing and drying machines, see 2750",,,,,,,,
2193,,,,"- manufacture of calendering machines, see 2819",,,,,,,,
2194,,,,"- manufacture of machines used in bookbinding, see 2829",,,,,,,,
2195,,,28261,"Manufacture of machinery for preparation of textile fibers, spinning",,,,,,,,
2196,,,,"machines, machines for preparing textile yarns, weaving machines (looms),",,,,,,,,
2197,,,,"including hand looms, knitting machines",,,,,,,,
2198,,,28262,Manufacture of textile printing machinery,,,,,,,,
2199,,,28263,"Manufacture of machinery for washing, bleaching, dyeing, dressing,",,,,,,,,
2200,,,,"finishing coating or impregnating textile fabrics, machines for reeling,",,,,,,,,
2201,,,,"unreeling, folding, cutting or pinking textile fabrics, and similar machinery",,,,,,,,
2202,,,,for fabric processing,,,,,,,,
2203,,,28264,"Manufacture of ironing machines, commercial washing and drying machines,",,,,,,,,
2204,,,,dry-cleaning machines and other laundry machinery,,,,,,,,
2205,,,28265,"Manufacture of sewing machines, sewing machine heads and sewing",,,,,,,,
2206,,,,machine needles (whether or not for household use),,,,,,,,
2207,,,28266,"Manufacture of machinery for preparing, tanning or working hides, skins",,,,,,,,
2208,,,,"or leather, machinery for making or repairing footwear or other articles of",,,,,,,,
2209,,,,"hides, skins, leather or fur skins",,,,,,,,
2210,,,28269,"Manufacture of other machinery for textiles, apparel and leather production",,,,,,,,
2211,,,,n.e.c.,,,,,,,,
2212,,2829,,manufacture of other special-purpose machinery,,,,,,,,
2213,,,,This class excludes:,,,,,,,,
2214,,,,"- manufacture of household appliances, see 2750",,,,,,,,
2215,,,,"- manufacture of photocopy machines etc., see 2817",,,,,,,,
2216,,,,#NAME?,,,,,,,,
2217,,,,"or cold glass, see 2822",,,,,,,,
2218,,,,"- manufacture of ingot moulds, see 2823",,,,,,,,
2219,,,28291,"Manufacture of machinery for making paper pulp, paper, paperboard and",,,,,,,,
2220,,,,articles of paper board,,,,,,,,
2221,,,28292,Manufacture of machinery for working soft rubber or plastics or for the,,,,,,,,
2222,,,,manufacture of products of these materials,,,,,,,,
2223,,,28293,Manufacture of,printing,and,bookbinding,machines,and,machines,for,
2224,,,,activities supporting printing on a variety of materials (other than textiles),,,,,,,,
2225,,,28299,Manufacture of other special-purpose machinery n.e.c.,,,,,,,,
2226,,,,"Division 29 : manufacture of motor vehicles, trailers and semi-trailers",,,,,,,,
2227,291,,,manufacture of motor vehicles,,,,,,,,
2228,,2910,2910,manufacture of motor vehicles,,,,,,,,
2229,,,,This class excludes:,,,,,,,,
2230,,,,"- manufacture of lighting equipment for motor vehicles, see 2740",,,,,,,,
2231,,,,"- manufacture of pistons, piston rings and carburetors, see 2811",,,,,,,,
2232,,,,"- manufacture of agricultural tractors, see 2821",,,,,,,,
2233,,,,"- manufacture of tractors used in construction or mining, see 2824",,,,,,,,
2234,,,,"- manufacture of off-road dumping trucks, see 2824",,,,,,,,
2235,,,,"- manufacture of bodies for motor vehicles, see 2920",,,,,,,,
2236,,,,"- manufacture of electrical parts for motor vehicles, see 2930",,,,,,,,
2237,,,,"- manufacture of parts and accessories for motor vehicles, see 2930",,,,,,,,
2238,,,,"- manufacture of tanks and other military fighting vehicles, see 3040",,,,,,,,
2239,,,,"- maintenance, repair and alteration of motor vehicles, see 4520",,,,,,,,
2240,,,29101,Manufacture of passenger cars,,,,,,,,
2241,,,29102,"Manufacture of commercial vehicles such as vans, lorries, over-the-road",,,,,,,,
2242,,,,tractors for semi-trailers etc.,,,,,,,,
2243,,,29103,Manufacture of chassis fitted with engines for the motor vehicles included,,,,,,,,
2244,,,,in this class,,,,,,,,
2245,,,29104,Manufacture of motor vehicle engines,,,,,,,,
2246,,,29109,Manufacture of motor vehicles n.e.c.,,,,,,,,
2247,292,,,manufacture of bodies (coachwork) for motor vehicles; manufacture of,,,,,,,,
2248,,,,trailers and semi-trailers,,,,,,,,
2249,,2920,2920,2920,,,,,,,,
2250,,,,This class excludes:,,,,,,,,
2251,,,,#NAME?,,,,,,,,
2252,,,,"agriculture, see 2821",,,,,,,,
2253,,,,#NAME?,,,,,,,,
2254,,,2930,2930,,,,,,,,
2255,,,,"- manufacture of vehicles drawn by animals, see 3099",,,,,,,,
2256,,,29201,"Manufacture of bodies, including cabs for motor vehicles",,,,,,,,
2257,,,29202,Manufacture of,trailers,and,semi-trailers,for transport,,of goods,or,
2258,,,,passengers,,,,,,,,
2259,,,29209,Manufacture of other attachments to motor vehicles n.e.c.,,,,,,,,
2260,293,,,manufacture of parts and accessories for motor vehicles,,,,,,,,
2261,,2930,2930,manufacture of parts and accessories for motor vehicles,,,,,,,,
2262,,,,This class excludes:,,,,,,,,
2263,,,,"- manufacture of tyres, see 2211",,,,,,,,
2264,,,,#NAME?,,,,,,,,
2265,,,2219,2219,,,,,,,,
2266,,,,#NAME?,,,,,,,,
2267,,,2220,2220,,,,,,,,
2268,,,,"- manufacture of batteries for vehicles, see 2720",,,,,,,,
2269,,,,"- manufacture of lighting equipment for motor vehicles, see 2740",,,,,,,,
2270,,,,"- manufacture of pistons, piston rings and carburetors, see 2811",,,,,,,,
2271,,,,"- manufacture of pumps for motor vehicles and engines, see 2813",,,,,,,,
2272,,,,"- maintenance, repair and alteration of motor vehicles, see 4520",,,,,,,,
2273,,,29301,Manufacture of diverse parts and accessories for motor vehecles sucs as,,,,,,,,
2274,,,,"brakes, gearboxes, axles, road wheels, suspension shock absorbers, radiators,",,,,,,,,
2275,,,,"silencers, exhaust pipes, catalysers, clutches, steering wheels, steering",,,,,,,,
2276,,,,columns and steering boxes etc.,,,,,,,,
2277,,,29302,Manufacture of parts and accessories of bodies for motor vehicles such as,,,,,,,,
2278,,,,"safety belts, airbags, doors, bumpers",,,,,,,,
2279,,,29303,Manufacture of car seats,,,,,,,,
2280,,,29304,"Manufacture of motor vehicle electrical equipment, such as generators,",,,,,,,,
2281,,,,"alternators, spark plugs, ignition wiring harnesses, power window and door",,,,,,,,
2282,,,,"systems, assembly of purchased gauges into instrument panels, voltage",,,,,,,,
2283,,,,"regulators, etc.",,,,,,,,
2284,,DiviSion 30 : manuFaCture oF other tranSport equipment,,,,,,,,,,
2285,301,,,building of ships and boats,,,,,,,,
2286,,3011,,Building of ships and floating structures,,,,,,,,
2287,,,,This class excludes:,,,,,,,,
2288,,,,"- manufacture of parts of vessels, other than major hull assemblies:",,,,,,,,
2289,,,,"• manufacture of sails, see 1322",,,,,,,,
2290,,,,"• manufacture of ships’ propellers, see 2599",,,,,,,,
2291,,,,"• manufacture of iron or steel anchors, see 2599",,,,,,,,
2292,,,,"• manufacture of marine engines, see 2811",,,,,,,,
2293,,,,"- manufacture of navigational instruments, see 2651",,,,,,,,
2294,,,,"- manufacture of lighting equipment for ships, see 2740",,,,,,,,
2295,,,,"- manufacture of amphibious motor vehicles, see 2910",,,,,,,,
2296,,,,"- manufacture of inflatable boats or rafts for recreation, see 3012",,,,,,,,
2297,,,,#NAME?,,,,,,,,
2298,,,3315,3315,,,,,,,,
2299,,,,"- ship-breaking, see 3830",,,,,,,,
2300,,,,"- interior installation of boats, see 4330",,,,,,,,
2301,,,30111,"Building of commercial vessels: passenger vessels, ferry-boats, cargo ships,",,,,,,,,
2302,,,,"tankers, tugs, hovercraft (except recreation-type hovercraft) etc.",,,,,,,,
2303,,,30112,Building of warships and scientific investigation ships etc.,,,,,,,,
2304,,,30113,Building of fishing boats and fish-processing factory vessels,,,,,,,,
2305,,,30114,Construction of floating or submersible drilling platforms,,,,,,,,
2306,,,30115,"Construction of floating structures ( floating docks, pontoons, coffer-dams,",,,,,,,,
2307,,,,"floating landing stages, buoys, floating tanks, barges, lighters, floating",,,,,,,,
2308,,,,"cranes, non-recreational inflatable rafts etc.)",,,,,,,,
2309,,3012,,building of pleasure and sporting boats,,,,,,,,
2310,,,,"This class includes, manufacture of inflatable boats and rafts, building of",,,,,,,,
2311,,,,"sailboats with or without auxiliary motor, building of motor boats, building of",,,,,,,,
2312,,,,"recreation-type hovercraft, manufacture of personal watercraft, manufacture",,,,,,,,
2313,,,,"of other pleasure and sporting boats (canoes, kayaks, rowing boats, skiffs)",,,,,,,,
2314,,,,This class excludes:,,,,,,,,
2315,,,,- manufacture of parts of pleasure and sporting boats:,,,,,,,,
2316,,,,"• manufacture of sails, see 1322",,,,,,,,
2317,,,,"• manufacture of iron or steel anchors, see 2599",,,,,,,,
2318,,,,"• manufacture of marine engines, see 2811",,,,,,,,
2319,,,,"- manufacture of sailboards and surfboards, see 3230",,,,,,,,
2320,,,,"- maintenance, repair or alteration of pleasure boats, see 3315",,,,,,,,
2321,,,30120,Building of pleasure and sporting boats,,,,,,,,
2322,302,,,manufacture of railway locomotives and rolling stock,,,,,,,,
2323,,3020,,manufacture of railway locomotives and rolling stock,,,,,,,,
2324,,,,This class excludes:,,,,,,,,
2325,,,,"- manufacture of unassembled rails, see 2410",,,,,,,,
2326,,,,"- manufacture of assembled railway track fixtures, see 2599",,,,,,,,
2327,,,,"- manufacture of electric motors, see 2710",,,,,,,,
2328,,,,"- manufacture of electrical signalling, safety or traffic-control equipment,",,,,,,,,
2329,,,,see 2790,,,,,,,,
2330,,,,"- manufacture of engines and turbines, see 2811",,,,,,,,
2331,,,30201,"Manufacture of electric, diesel, steam and other rail locomotives",,,,,,,,
2332,,,30202,"Manufacture of self-propelled railway or tramway coaches, vans and trucks,",,,,,,,,
2333,,,,maintenance or service vehicles,,,,,,,,
2334,,,30203,"Manufacture of railway or tramway rolling stock, not self-propelled",,,,,,,,
2335,,,,"(passenger coaches, goods vans tank wagons, self-discharging vans and",,,,,,,,
2336,,,,"wagons, workshop vans, crane vans, tenders etc.",,,,,,,,
2337,,,30204,Manufacture of specialized parts of railway or tramway locomotives or of,,,,,,,,
2338,,,,"rolling stock (bogies, axles and wheels, brakes and parts of brakes; hooks",,,,,,,,
2339,,,,"and coupling devices, buffers and buffer parts; shock absorbers; wagon and",,,,,,,,
2340,,,,locomotive frames; bodies; corridor connections etc.),,,,,,,,
2341,,,30205,Manufacture of mechanical and electro-mechanical signalling safety and,,,,,,,,
2342,,,,"traffic control equipment for railways, tramways, inland waterways, roads,",,,,,,,,
2343,,,,"parking facilities, airfields etc.",,,,,,,,
2344,,,30206,Manufacture of mining locomotives and mining rail cars,,,,,,,,
2345,303,,,manufacture of air and spacecraft and related machinery,,,,,,,,
2346,,3030,,manufacture of air and spacecraft and related machinery,,,,,,,,
2347,,,,This class excludes:,,,,,,,,
2348,,,,"- manufacture of parachutes, see 1322",,,,,,,,
2349,,,,"- manufacture of military ordinance and ammunition, see 2520",,,,,,,,
2350,,,,"- manufacture of telecommunication equipment for satellites, see 2630",,,,,,,,
2351,,,,#NAME?,,,,,,,,
2352,,,2651,2651,,,,,,,,
2353,,,,"- manufacture of air navigation systems, see 2651",,,,,,,,
2354,,,,"- manufacture of lighting equipment for aircraft, see 2740",,,,,,,,
2355,,,,#NAME?,,,,,,,,
2356,,,,"combustion engines, see 2790",,,,,,,,
2357,,,,"- manufacture of pistons, piston rings and carburetors, see 2811",,,,,,,,
2358,,,,#NAME?,,,,,,,,
2359,,,,"equipment, see 2829",,,,,,,,
2360,,,30301,Manufacture of airplanes,,,,,,,,
2361,,,30302,Manufacture of helicopters,,,,,,,,
2362,,,30303,"Manufacture of gliders, hang-gliders, dirigibles and hot air balloons and",,,,,,,,
2363,,,,other non-powered aircraft,,,,,,,,
2364,,,30304,"Manufacture of spacecraft and launch vehicles, satellites, planetary probes,",,,,,,,,
2365,,,,"orbital stations, shuttles, intercontinental ballistic (ICBM) and similar",,,,,,,,
2366,,,,missiles,,,,,,,,
2367,,,30305,Manufacture of parts and accessories of the aircraft and spacecraft of this,,,,,,,,
2368,,,,"class (major assemblies such as fuselages, wings, doors, control surfaces,",,,,,,,,
2369,,,,"landing gear, fuel tanks, nacelles, airscrews, helicopter rotors and propelled",,,,,,,,
2370,,,,"rotor blades, motors and engines of a kind typically found on aircraft, parts",,,,,,,,
2371,,,,"of turbojets and turbopropellers for aircraft, aircraft seats etc. and other",,,,,,,,
2372,,,,specialised parts of spacecraft),,,,,,,,
2373,304,,,manufacture of weapons and ammunition,,,,,,,,
2374,,3040,,manufacture of weapons and ammunition,,,,,,,,
2375,,,,"This class includes tanks and other vehicles; heavy weapons, artillery,",,,,,,,,
2376,,,,"mobile guns; small arms such as light machine guns, rifles; air or gas guns",,,,,,,,
2377,,,,"and pistols; firearms which fire blank cartridges, signal flares, captive bolts",,,,,,,,
2378,,,,and other non-projected firing pistols etc.,,,,,,,,
2379,,,,This class excludes:,,,,,,,,
2380,,,,"- manufacture of weapons and ammunitions, see 2520",,,,,,,,
2381,,,30400,Manufacture of weapons and ammunition,,,,,,,,
2382,309,,,manufacture of transport equipment n.e.c.,,,,,,,,
2383,,3091,,manufacture of motorcycles,,,,,,,,
2384,,,,This class excludes:,,,,,,,,
2385,,,,"- manufacture of bicycles, see 3092",,,,,,,,
2386,,,,"- manufacture of invalid carriages, see 3092",,,,,,,,
2387,,,30911,"Manufacture of motorcycles, scooters, mopeds etc. and their engine",,,,,,,,
2388,,,30912,Manufacture of three-wheelers and their engine,,,,,,,,
2389,,,30913,Manufacture of parts and accessories of three wheelers and motorcycles,,,,,,,,
2390,,,,including side cars,,,,,,,,
2391,,3092,,manufacture of bicycles and invalid carriages,,,,,,,,
2392,,,,This class excludes:,,,,,,,,
2393,,,,"- manufacture of bicycles with auxiliary motor, see 3091",,,,,,,,
2394,,,,#NAME?,,,,,,,,
2395,,,,"bicycles and tricycles, see 3240",,,,,,,,
2396,,,30921,"Manufacture of non-motorized bicycles and other cycles, including cycle-",,,,,,,,
2397,,,,"rickshaws, (delivery) tricycles, tandems, children’s bicycles and tricycles,",,,,,,,,
2398,,,,baby carriages,,,,,,,,
2399,,,30922,Manufacture of invalid carriages with or without motor,,,,,,,,
2400,,,30923,"Manufacture of parts and accessories for bicycles, cycle -rickshaws and",,,,,,,,
2401,,,,invalid carriages,,,,,,,,
2402,,3099,,manufacture of other transport equipment n.e.c.,,,,,,,,
2403,,,,This class excludes:,,,,,,,,
2404,,,,"- works trucks, whether or not fitted with lifting or handling equipment,",,,,,,,,
2405,,,,"whether or not self-propelled, of the type used in factories (including hand",,,,,,,,
2406,,,,"trucks and wheelbarrows), see 2816",,,,,,,,
2407,,,,"- decorative restaurant carts, such as a desert cart, food wagons, see 3100",,,,,,,,
2408,,,30991,Manufacture of vehicles drawn by animals,,,,,,,,
2409,,,30999,"Manufacture of other transport equipments n.e.c. such as pushcarts, handcarts",,,,,,,,
2410,,,,etc,,,,,,,,
2411,,,,DiviSion 31 : manuFaCture oF Furniture,,,,,,,,
2412,310,,,manufacture of furniture,,,,,,,,
2413,,3100,,manufacture of furniture,,,,,,,,
2414,,,,"This class includes manufacture of furniture of any kind, any material (except",,,,,,,,
2415,,,,"stone, concrete or ceramic) for any place and various purposes",,,,,,,,
2416,,,,This class excludes:,,,,,,,,
2417,,,,#NAME?,,,,,,,,
2418,,,1322,1322,,,,,,,,
2419,,,,"- manufacture of inflatable rubber mattresses, see 2219",,,,,,,,
2420,,,,"- manufacture of furniture of ceramics, concrete and stone, see 2393, 2395,",,,,,,,,
2421,,,2396,2396,,,,,,,,
2422,,,,"- manufacture of lighting fittings or lamps, see 2740",,,,,,,,
2423,,,,"- blackboards, see 2817",,,,,,,,
2424,,,,"- manufacture of car seats, railway seats, aircraft seats, see 2930, 3020,",,,,,,,,
2425,,,3030,3030,,,,,,,,
2426,,,,"- modular furniture attachment and installation, partition installation,",,,,,,,,
2427,,,,"laboratory equipment furniture installation, see 4330",,,,,,,,
2428,,,31001,Manufacture of furniture made of wood,,,,,,,,
2429,,,31002,Manufacture of furniture made of cane & reed,,,,,,,,
2430,,,31003,Manufacture of furniture primarily of metal,,,,,,,,
2431,,,31004,Manufacture of furniture primarily of plastic,,,,,,,,
2432,,,31005,Manufacture of mattresses and pillows,,,,,,,,
2433,,,31009,Manufacture of other furniture n.e.c.,,,,,,,,
2434,,,,DiviSion 32 : other manuFaCturinG,,,,,,,,
2435,321,,,"manufacture of jewellery, bijouterie and related articles",,,,,,,,
2436,,3211,,manufacture of jewellery and related articles,,,,,,,,
2437,,,,This class excludes:,,,,,,,,
2438,,,,#NAME?,,,,,,,,
2439,,,1512,1512,,,,,,,,
2440,,,,- manufacture of articles of base metal plated with precious metal (except,,,,,,,,
2441,,,,"imitation jewellery), see division 25",,,,,,,,
2442,,,,"- manufacture of watch cases, see 2652",,,,,,,,
2443,,,,"- manufacture of (non-precious) metal watch bands, see 3212",,,,,,,,
2444,,,,"- manufacture of imitation jewellery, see 3212",,,,,,,,
2445,,,32111,"Manufacture of jewellery of gold, silver and other precious or base metal",,,,,,,,
2446,,,,"metal clad with precious metals or precious or semi-precious stones, or of",,,,,,,,
2447,,,,combinations of precious metal and precious or semi-precious stones or of,,,,,,,,
2448,,,,other materials,,,,,,,,
2449,,,32112,Working of diamonds and other precious and semi-precious stones including,,,,,,,,
2450,,,,the working of industrial quality stones and synthetic or reconstructed,,,,,,,,
2451,,,,precious or semi-precious stones,,,,,,,,
2452,,,32113,Production of worked pearls,,,,,,,,
2453,,,32114,"Manufacture of coins, including coins for use as legal tender, whether or not",,,,,,,,
2454,,,,of precious metal,,,,,,,,
2455,,,32119,"Manufacture of other articles of gold, silver and other precious and semi",,,,,,,,
2456,,,,precious metal and stone,,,,,,,,
2457,,3212,,manufacture of imitation jewellery and related articles,,,,,,,,
2458,,,,"This class includes manufacture of costume or imitation jewellery,",,,,,,,,
2459,,,,manufacture of metal watch bands (except precious metal),,,,,,,,
2460,,,,This class excludes:,,,,,,,,
2461,,,,#NAME?,,,,,,,,
2462,,,,"metals, see 3211",,,,,,,,
2463,,,,"- manufacture of jewellery containing genuine gem stones, see 3211",,,,,,,,
2464,,,,"- manufacture of precious metal watch bands, see 3211",,,,,,,,
2465,,,32120,Manufacture of imitation jewellery and related articles,,,,,,,,
2466,322,,,manufacture of musical instruments,,,,,,,,
2467,,3220,,manufacture of musical instruments,,,,,,,,
2468,,,,This class excludes:,,,,,,,,
2469,,,,"- reproduction of pre-recorded sound and video tapes and discs, see 1820",,,,,,,,
2470,,,,#NAME?,,,,,,,,
2471,,,,"similar components, see 2640",,,,,,,,
2472,,,,"- manufacture of record players, tape recorders and the like, see 2640",,,,,,,,
2473,,,,"- manufacture of toy musical instruments, see 3240",,,,,,,,
2474,,,,"- restoring of organs and other historic musical instruments, see 3319",,,,,,,,
2475,,,,"- publishing of pre-recorded sound and video tapes and discs, see 5920",,,,,,,,
2476,,,,"- piano tuning, see 9529",,,,,,,,
2477,,,32201,Manufacture of stringed instruments (non-electronic),,,,,,,,
2478,,,32202,"Manufacture of wind instruments, accordions, harmonium and similar",,,,,,,,
2479,,,,instruments and mouth organs,,,,,,,,
2480,,,32203,Manufacture of percussion musical instruments,,,,,,,,
2481,,,32204,"Manufacture of musical instruments, the sound of which is produced",,,,,,,,
2482,,,,electronically,,,,,,,,
2483,,,32209,Manufacture of other musical instruments n.e.c.,,,,,,,,
2484,323,,,manufacture of sports goods,,,,,,,,
2485,,3230,,manufacture of sports goods,,,,,,,,
2486,,,,This class includes the manufacture of outdoor and indoor sporting and,,,,,,,,
2487,,,,athletic goods of any material except apparel and footwear,,,,,,,,
2488,,,,This class excludes:,,,,,,,,
2489,,,,"- manufacture of boat sails, see 1322",,,,,,,,
2490,,,,"- manufacture of sports apparel, see 1410",,,,,,,,
2491,,,,"- manufacture of saddlery and harness, see 1512",,,,,,,,
2492,,,,"- manufacture of whips and riding crops, see 1512",,,,,,,,
2493,,,,"- manufacture of sports footwear, see 1520",,,,,,,,
2494,,,,"- manufacture of sporting weapons and ammunition, see 2520",,,,,,,,
2495,,,,"- manufacture of metal weights as used for weightlifting, see 2599",,,,,,,,
2496,,,,#NAME?,,,,,,,,
2497,,,,divisions 29 and 30,,,,,,,,
2498,,,,"- manufacture of boats, see 3012",,,,,,,,
2499,,,,"- manufacture of billiard tables, see 3240",,,,,,,,
2500,,,,"- manufacture of ear and noise plugs (e.g. for swimming and noise protection),",,,,,,,,
2501,,,,see 3290,,,,,,,,
2502,,,32300,Manufacture of sports goods,,,,,,,,
2503,324,,,manufacture of games and toys,,,,,,,,
2504,,3240,,manufacture of games and toys,,,,,,,,
2505,,,,This class excludes:,,,,,,,,
2506,,,,"- manufacture of video game consoles, see 2640",,,,,,,,
2507,,,,"- manufacture of bicycles, see 3092",,,,,,,,
2508,,,,"- writing and publishing of software for video game consoles, see 5820,",,,,,,,,
2509,,,6201,6201,,,,,,,,
2510,,,32401,Manufacture of dolls and toy animals,,,,,,,,
2511,,,32402,"Manufacture of wheeled toys designed to be ridden, including plastic",,,,,,,,
2512,,,,bicycles and tricycles,,,,,,,,
2513,,,32403,"Manufacture of pin-tables, coin-operated games, billiards, special tables for",,,,,,,,
2514,,,,"casino games, etc.",,,,,,,,
2515,,,32404,Manufacture of playing cards,,,,,,,,
2516,,,32405,Manufacture of electronic games,,,,,,,,
2517,,,32409,Manufacture of other games and toys n.e.c.,,,,,,,,
2518,325,,,manufacture of medical and dental instruments and supplies,,,,,,,,
2519,,3250,,manufacture of medical and dental instruments and supplies,,,,,,,,
2520,,,,This class excludes:,,,,,,,,
2521,,,,"- manufacture of wheelchairs, see 3092",,,,,,,,
2522,,,32501,Manufacture of dental fillings and cements (except denture adhesive or,,,,,,,,
2523,,,,"cement), dental wax and other dental plaster preparations; manufacture of",,,,,,,,
2524,,,,"dental laboratory furnaces, dental instruments, artificial teeth, bridges, etc.,",,,,,,,,
2525,,,,made in dental labs,,,,,,,,
2526,,,32502,Manufacture of laboratory apparatus (laboratory ultrasonic cleaning,,,,,,,,
2527,,,,"machinery, laboratory sterilizers, laboratory type distilling apparatus,",,,,,,,,
2528,,,,laboratory centrifuges etc.),,,,,,,,
2529,,,32503,"Manufacture of medical, surgical, dental or veterinary furniture such as",,,,,,,,
2530,,,,"operating tables, examination tables, dentists’ chairs etc.",,,,,,,,
2531,,,32504,"Manufacture of bone plates and screws, syringes, needles, catheters,",,,,,,,,
2532,,,,"cannulae, etc.",,,,,,,,
2533,,,32505,Manufacture of measuring instruments suc as thermometers etc.,,,,,,,,
2534,,,32506,Manufacture of orthopedic and prosthetic devices,,,,,,,,
2535,,,32507,"Manufacture of ophthalmic goods, eyeglasses, sunglasses, lenses ground to",,,,,,,,
2536,,,,"prescription, contact lenses, safety goggles etc.",,,,,,,,
2537,,,32509,Manufacture of other medical and dental instruments n.e.c.,,,,,,,,
2538,329,,,other manufacturing n.e.c.,,,,,,,,
2539,,3290,,other manufacturing n.e.c.,,,,,,,,
2540,,,,This class excludes:,,,,,,,,
2541,,,,"- manufacture of lighter wicks, see 1329",,,,,,,,
2542,,,,"- manufacture of workwear and service apparel (e.g. laboratory coats, work",,,,,,,,
2543,,,,"overalls, uniforms), see 1410",,,,,,,,
2544,,,,"- manufacture of paper novelties, see 1709",,,,,,,,
2545,,,32901,Manufacture of stationary articles such as pens and pencils of all kinds,,,,,,,,
2546,,,,"whether or not mechanical, pencil leads, date, sealing or numbering stamps,",,,,,,,,
2547,,,,"hand-operated devices for printing or embossing labels, hand printing sets,",,,,,,,,
2548,,,,"prepared typewriter ribbons and inked pads, globes etc.",,,,,,,,
2549,,,32902,Manufacture of protective safety equipment (fire-resistant and protective,,,,,,,,
2550,,,,"safety clothing, linemen’s safety belts and other belts for occupational use,",,,,,,,,
2551,,,,"cork life preservers, plastics hard hats and other personal safety equipment",,,,,,,,
2552,,,,"of plastics, fire-fighting protection suits, metal safety headgear and other",,,,,,,,
2553,,,,"metal personal safety devices, gas masks etc.)",,,,,,,,
2554,,,32903,"Manufacture of umbrellas, sun-umbrellas, walking sticks, seat-stick",,,,,,,,
2555,,,32904,"Manufacture of articles of personal use such as cigarette lighters, smoking",,,,,,,,
2556,,,,"pipes, combs, hair slides, scent sprays, vacuum flasks and other vacuum",,,,,,,,
2557,,,,"vessels for personal or household use, wigs, false beards, eyebrows etc.",,,,,,,,
2558,,,32909,Manufacture of other articles n.e.c.,,,,,,,,
2559,,,,DiviSion 33 : repair anD inStallation oF maChinery anD equipment,,,,,,,,
2560,331,,331,"repair of fabricated metal products, machinery and equipment",,,,,,,,
2561,,3311,3311,repair of fabricated metal products,,,,,,,,
2562,,,,This class includes repair and maintenance of fabricated metal products of,,,,,,,,
2563,,,,division 25,,,,,,,,
2564,,,,This class excludes:,,,,,,,,
2565,,,,"- repair of central heating systems etc., see 4322",,,,,,,,
2566,,,,"- locksmith services, see 8020",,,,,,,,
2567,,,33111,Repair and maintenance of structural products,,,,,,,,
2568,,,33112,Repair and maintenance of pipes and pipelines,,,,,,,,
2569,,,33113,"Repair and maintenance of metal tanks, reservoirs, containers, steel shipping",,,,,,,,
2570,,,,drums etc.,,,,,,,,
2571,,,33114,Repair and maintenance of steam or other vapour generators and auxiliary,,,,,,,,
2572,,,,"plant for use with steam generators such as condensers, economizers,",,,,,,,,
2573,,,,"superheaters, steam collectors and accumulators",,,,,,,,
2574,,,33119,Repair and maintenance of other fabricated metal products,,,,,,,,
2575,,3312,3312,repair of machinery,,,,,,,,
2576,,,,This class includes repair and maintenance of industrial machinery and,,,,,,,,
2577,,,,equipment like sharpening or installing commercial and industrial machinery,,,,,,,,
2578,,,,"blades and saws or the provision of welding (e.g. automotive, general) repair",,,,,,,,
2579,,,,services; the repair of agricultural and other heavy and industrial machinery,,,,,,,,
2580,,,,"and equipment (e.g. forklifts and other materials handling equipment,",,,,,,,,
2581,,,,"machine tools, commercial refrigeration equipment, construction equipment,",,,,,,,,
2582,,,,"and mining machinery), comprising machinery and equipment of division",,,,,,,,
2583,,,28,28,,,,,,,,
2584,,,,This class excludes:,,,,,,,,
2585,,,,"- installation of furnaces and other heating equipment, see 4322",,,,,,,,
2586,,,33121,"Repair and maintenance of engines and turbines excluding aircraft, vehicle",,,,,,,,
2587,,,,and cycle engines,,,,,,,,
2588,,,33122,"Repair and maintenance of pumps and related equipment, fluid power",,,,,,,,
2589,,,,"equipment, valves",,,,,,,,
2590,,,33123,Repair and maintenance of metal cutting and metal forming machine tools,,,,,,,,
