group,class,subclass,details,column5,column6,column7,column8,column9,column10,column11,column12
332,,,installation of industrial machinery and equipment,,,,,,,,
,3320,,installation of industrial machinery and equipment,,,,,,,,
,,,"This class includes the specialized installation of machinery. However, the",,,,,,,,
,,,installation of equipment that forms an integral part of buildings or similar,,,,,,,,
,,,"structures, such as installation of escalators, electrical wiring, burglar alarm",,,,,,,,
,,,"systems or air-conditioning systems, is classified as construction.",,,,,,,,
,,33200,Installation of industrial machinery and equipment,,,,,,,,
,"SECTION D : ELECTRICITY, GAS, STEAM AND AIRCONDITION SUPPLY",,,,,,,,,,
,"DiviSion 35 : eleCtriCity, GaS, Steam anD airConDition Supply",,,,,,,,,,
351,,,"electric power generation, transmission and distribution",,,,,,,,
,3510,,"electric power generation, transmission and distribution",,,,,,,,
,,,This class excludes:,,,,,,,,
,,,"- production of electricity through incineration of waste, see 3821",,,,,,,,
,,35101,Electric power generation by hydroelectric power plants,,,,,,,,
,,35102,Electric power generation by coal based thermal power plants,,,,,,,,
,,35103,"Electric power generation by non-coal based thermal (e.g. diesel, gas )",,,,,,,,
,,35104,Electric power generation and transmission by nuclear power plants,,,,,,,,
,,35105,Electric power generation using solar energy,,,,,,,,
,,35106,Electric power generation using other non conventional sources,,,,,,,,
,,35107,Transmission of electric energy,,,,,,,,
,,35109,"Collection and distribution of electric energy to households, industrial,",,,,,,,,
,,,commercial and other users n.e.c.,,,,,,,,
352,,,manufacture of gas; distribution of gaseous fuels through mains,,,,,,,,
,3520,,manufacture of gas; distribution of gaseous fuels through mains,,,,,,,,
,,,This class excludes:,,,,,,,,
,,,"- operation of coke ovens, see 1910",,,,,,,,
,,,"- manufacture of refined petroleum products, see 1920",,,,,,,,
,,,"- manufacture of industrial gases, see 2011",,,,,,,,
,,,"- wholesale of gaseous fuels, see 4661",,,,,,,,
,,,"- retail sale of bottled gas, see 4773",,,,,,,,
,,,"- direct selling of fuel, see 4799",,,,,,,,
,,,"- (long-distance) transportation of gases by pipelines, see 4930",,,,,,,,
,,35201,Manufacture of gas,,,,,,,,
,,35202,Disrtibution and sale of gaseous fuels through mains,,,,,,,,
353,,,Steam and air conditioning supply,,,,,,,,
,3530,,Steam and air conditioning supply,,,,,,,,
,,35301,"Production, collection and distribution of steam and hot water for heating,",,,,,,,,
,,,power and other purposes,,,,,,,,
,,35302,Production and distribution of cooled air and chilled water for cooling,,,,,,,,
,,,purposes,,,,,,,,
,,35303,"Production of ice, including ice for food and non-food (e.g. cooling)",,,,,,,,
,,,purposes,,,,,,,,
360,,,"Water collection, treatment and supply",,,,,,,,
,3600,,"Water collection, treatment and supply",,,,,,,,
,,,"This class includes water collection, treatment and distribution activities for",,,,,,,,
,,,"domestic and industrial needs. Collection of water from various sources, as",,,,,,,,
,,,well as distribution by various means is included. The operation of irrigation,,,,,,,,
,,,canals is also included; however the provision of irrigation services through,,,,,,,,
,,,"sprinklers, and similar agricultural support services, is not included.",,,,,,,,
,,,This class excludes:,,,,,,,,
,,,"- operation of irrigation equipment for agricultural purposes, see 0161",,,,,,,,
,,,"- treatment of waste water in order to prevent pollution, see 3700",,,,,,,,
,,,"- (long-distance) transport of water via pipelines, see 4930",,,,,,,,
,,36000,"Water collection, treatment and supply",,,,,,,,
370,,,Sewerage,,,,,,,,
,3700,,Sewerage,,,,,,,,
,,37001,The operation and maintenance of sewer systems,,,,,,,,
,,37002,Collecting and transporting of human or industrial waste water or rain,,,,,,,,
,,,"water by means of sewerage networks, collectors, tanks and other means of",,,,,,,,
,,,transport (sewage vehicles etc.),,,,,,,,
,,37003,"Treatment of waste water or sewer by means of physical, chemical or",,,,,,,,
,,,biological processes,,,,,,,,
381,,,Waste collection,,,,,,,,
,3811,,Collection of non-hazardous waste,,,,,,,,
,,,This class includes collection of non-hazardous solid waste (i.e. garbage),,,,,,,,
,,,"within a local area, such as collection of waste from households and",,,,,,,,
,,,"businesses by means of refuse bins, wheeled bins, containers etc may include",,,,,,,,
,,,"mixed recoverable materials, collection of recyclable materials, collection of",,,,,,,,
,,,"used cooking oils and fats, collection of refuse in litter-bins in public places,",,,,,,,,
,,,"collection of construction and demolition waste, collection and removal of",,,,,,,,
,,,"debris such as brush and rubble, collection of waste output of textile mills,",,,,,,,,
,,,operation of waste transfer stations for non-hazardous waste,,,,,,,,
,,,This class excludes:,,,,,,,,
,,,"- collection of hazardous waste, see 3812",,,,,,,,
,,,"- operation of landfills for the disposal of non-hazardous waste, see 3821",,,,,,,,
,,,operation of facilities where commingled recoverable materials such as,,,,,,,,
,,,"paper, plastics, etc. are sorted into distinct categories, see 3830",,,,,,,,
,,38110,Collection of non-hazardous waste,,,,,,,,
,3812,,Collection of hazardous waste,,,,,,,,
,,,"This class includes the collection of solid and non-solid hazardous waste,",,,,,,,,
,,,"i.e. explosive, oxidizing, flammable, toxic, irritant, carcinogenic, corrosive,",,,,,,,,
,,,infectious and other substances and preparations harmful for human health,,,,,,,,
,,,"and environment. It may also entail identification, treatment, packaging and",,,,,,,,
,,,labeling of waste for the purposes of transport.,,,,,,,,
,,38120,Collection of hazardous waste,,,,,,,,
382,,,Waste treatment and disposal,,,,,,,,
,3821,,treatment and disposal of non-hazardous waste,,,,,,,,
,,,"This class includes the disposal, treatment prior to disposal and other",,,,,,,,
,,,treatment of solid or non-solid non-hazardous waste.,,,,,,,,
,,,This class excludes:,,,,,,,,
,,,"- incineration and combustion of hazardous waste, see 3822",,,,,,,,
,,,#NAME?,,,,,,,,
,,,"as paper, plastics, used beverage cans and metals, are sorted into distinct",,,,,,,,
,,,"categories, see 3830",,,,,,,,
,,,"- decontamination, clean up of land, water; toxic material abatement, see",,,,,,,,
,,3900,3900,,,,,,,,
,,38210,Treatment and disposal of non-hazardous waste,,,,,,,,
,3822,,treatment and disposal of hazardous waste,,,,,,,,
,,,This class excludes:,,,,,,,,
,,,"- incineration of non-hazardous waste, see 3821",,,,,,,,
,,,"- decontamination, clean up of land, water; toxic material abatement, see",,,,,,,,
,,3900,3900,,,,,,,,
,,,"- reprocessing of nuclear fuels, see 2011",,,,,,,,
,,38221,"Treatment and disposal of toxic live or dead animals and other, contaminated",,,,,,,,
,,,"waste, disposal of used goods; incineration of hazardous waste",,,,,,,,
,,38222,"Treatment, disposal and storage of radioactive nuclear waste",,,,,,,,
383,,,materials recovery,,,,,,,,
,3830,,materials recovery,,,,,,,,
,,,"This class includes recovery of materials such as paper, plastics, used",,,,,,,,
,,,"beverage cans and metals, into distinct categories, from garbage. Also",,,,,,,,
,,,includes the processing of metal and non-metal waste and scrap and other,,,,,,,,
,,,articles into secondary raw material,,,,,,,,
,,,This class excludes:,,,,,,,,
,,,- manufacture of new final products from (whether or not self-manufactured),,,,,,,,
,,,"secondary metal raw materials, such as spinning yarn from garnetted stock,",,,,,,,,
,,,"making pulp from paper waste, retreading tyres or production of metal from",,,,,,,,
,,,"metal scrap, see corresponding classes in section C (Manufacturing)",,,,,,,,
,,,"- reprocessing of nuclear fuels, see 2011",,,,,,,,
,,,"- treatment and disposal of non-hazardous waste, see 3821",,,,,,,,
,,,"- treatment of organic waste for disposal, see 3821",,,,,,,,
,,,"energy recovery from non-hazardous waste incineration processes,",,,,,,,,
,,,,,,,,,,,
,,,"- disposal of used goods such as refrigerators to eliminate harmful waste,",,,,,,,,
,,,see 3822,,,,,,,,
,,,"- treatment and disposal of transition radioactive waste from hospitals etc.,",,,,,,,,
,,,see 3822,,,,,,,,
,,,"- treatment and disposal of toxic, contaminated waste, see 3822",,,,,,,,
,,,#NAME?,,,,,,,,
,,,"obtain and re-sell usable parts, see section G",,,,,,,,
,,,"- wholesale of recoverable materials, see 4669",,,,,,,,
,,38300,Materials recovery,,,,,,,,
,,DiviSion 39 : remeDiationa,CtivitieSa nD other WaSte manaGement ServiCeS,,,,,,,,
390,,,remediation activities and other waste management services,,,,,,,,
,,.,remediation activities and other waste management services,,,,,,,,
,,,"This includes cleanup of contaminated buildings and sites, soil, surface or",,,,,,,,
,,,ground water and other specialized pollution-control activities,,,,,,,,
,,,This class excludes:,,,,,,,,
,,,"- treatment and disposal of non-hazardous waste, see 3821",,,,,,,,
,,,"- treatment and disposal of hazardous waste, see 3822",,,,,,,,
,,,"- outdoor sweeping and watering of streets etc., see 8129",,,,,,,,
,,39000,Remediation activities and other waste management services,,,,,,,,
,,DiviSion 41 : ConStruCtion oF builDinGS,,,,,,,,,
410,,,Construction of buildings,,,,,,,,
,4100,,Construction of buildings,,,,,,,,
,,,This class excludes:,,,,,,,,
,,,#NAME?,,,,,,,,
,,,"parts not of concrete, see divisions 16 and 25",,,,,,,,
,,,"- construction of industrial facilities, except buildings, see 4290",,,,,,,,
,,,"- architectural and engineering activities, see 7110",,,,,,,,
,,,"- project management activities related to construction, see 7110tion",,,,,,,,
,,41001,Construction of buildings carried out on own-account basis or on a fee or,,,,,,,,
,,,contract basis,,,,,,,,
,,41002,"Activities relating to alteration, addition, repair, maintenance carried out on",,,,,,,,
,,,own-account basis or on a fee or contract basis,,,,,,,,
,,41003,Assembly and erection of prefabricated constructions on the site,,,,,,,,
,,421,Construction roads and railways,,,,,,,,
,,4210,Construction roads and railways,,,,,,,,
,,,This class excludes:,,,,,,,,
,,,"- installation of street lighting and electrical signals, see 4321",,,,,,,,
,,,"- architectural and engineering activities, see 7110",,,,,,,,
,,,#NAME?,,,,,,,,
,,7110,7110,,,,,,,,
,,42101,"Construction and maintenance of motorways, streets, roads, other vehicular",,,,,,,,
,,,"and pedestrian ways, highways, bridges, tunnels and subways",,,,,,,,
,,42102,Construction and maintenance of railways and rail-bridges,,,,,,,,
,,42103,Construction and maintenance of airfield runways,,,,,,,,
422,,,Construction of utility projects,,,,,,,,
,4220,,Construction of utility projects,,,,,,,,
,,,This class excludes:,,,,,,,,
,,,#NAME?,,,,,,,,
,,7110,7110,,,,,,,,
,,42201,Construction and maintenance of power plants,,,,,,,,
,,42202,"Construction/erection and maintenance of power, telecommunication and",,,,,,,,
,,,transmission lines,,,,,,,,
,,42203,Construction of long distance pipelines or urban pipelines,,,,,,,,
,,42204,"Construction and maintenance of water main and line connection, water",,,,,,,,
,,,reservoirs including irrigation system (canal),,,,,,,,
,,42205,Construction and repair of sewer systems including sewage disposal plants,,,,,,,,
,,,and pumping stations,,,,,,,,
,,42206,Water well drilling,,,,,,,,
,,42209,Construction of utility projects n.e.c.,,,,,,,,
429,,,Construction of other civil engineering projects,,,,,,,,
,4290,,Construction of other civil engineering projects,,,,,,,,
,,,This class excludes:,,,,,,,,
,,,#NAME?,,,,,,,,
,,7110,7110,,,,,,,,
,,42901,Construction and maintenance of industrial facilities such as refineries,,,,,,,,
,,,chemical plants etc.,,,,,,,,
,,42902,"Construction of waterways, harbours and river works, dredging of",,,,,,,,
,,,waterways,,,,,,,,
,,42903,Construction of dams etc.,,,,,,,,
,,42904,Construction of outdoor sports facilities,,,,,,,,
,,42909,Other civil engineering projects n.e.c.,,,,,,,,
431,,,Demolition and site preparation,,,,,,,,
,4311,,Demolition,,,,,,,,
,,,This class includes demolition or wrecking of buildings and other,,,,,,,,
,,,structures,,,,,,,,
,,43110,Demolition,,,,,,,,
,4312,,Site preparation,,,,,,,,
,,,This class excludes:,,,,,,,,
,,,"- drilling of production oil or gas wells, see 0610, 0620",,,,,,,,
,,,"- decontamination of soil, see 3900",,,,,,,,
,,,"- water well drilling, see 4220",,,,,,,,
,,,"- shaft sinking, see 4390",,,,,,,,
,,,"- oil and gas field exploration, geophysical, geological and seismic surveying,",,,,,,,,
,,,see 7110,,,,,,,,
,,43121,Site preparation for mining including overburden removal and other,,,,,,,,
,,,development and preparation of mineral properties and sites except oil and,,,,,,,,
,,,gas sites,,,,,,,,
,,43122,"Site preparation including drilling, boring and core sampling for construction,",,,,,,,,
,,,"geophysical, geological or similar purposes",,,,,,,,
,,43123,"Clearing of building sites, earth moving: excavation, landfill, levelling and",,,,,,,,
,,,"grading of construction sites, trench digging, rock removal, blasting etc.",,,,,,,,
,,43129,Other site preparation activities n.e.c.,,,,,,,,
432,,,"electrical, plumbing and other construction installation activities",,,,,,,,
,4321,,electrical installation,,,,,,,,
,,,This class excludes:,,,,,,,,
,,,"- construction of communications and power transmission lines, see 4220",,,,,,,,
,,43211,Installation of electrical wiring and fittings,,,,,,,,
,,43212,"Installation of telecommunications wiring, computer network and cable",,,,,,,,
,,,"television wiring, including fibre optic, satellite dishes",,,,,,,,
,,43213,Installation of street lighting and electrical signals,,,,,,,,
,,43214,Installation of fire alarm system and burgler alarm system,,,,,,,,
,,43219,Other electrical electrical installation n.e.c.,,,,,,,,
,4322,,"plumbing, heat and air-conditioning installation",,,,,,,,
,,,This class excludes:,,,,,,,,
,,,"- installation of electric baseboard heating, see 4321",,,,,,,,
,,43221,"Installation of plumbing for water, gas and sanitation equipments",,,,,,,,
,,43222,"Installation of heating systems (electric, gas and oil), furnaces, cooling",,,,,,,,
,,,"towers, non-electric solar energy collectors etc.",,,,,,,,
,,43229,"Other plumbing, heat and air conditioning activities n.e.c.",,,,,,,,
,4329,,other construction installation,,,,,,,,
,,,This class excludes:,,,,,,,,
,,,"- installation of industrial machinery, see 3320",,,,,,,,
,,43291,"Installation of elevators, escalators",,,,,,,,
,,43292,"Installation of thermal, sound or vibration insulation system in buildings",,,,,,,,
,,43299,Other construction projects n.e.c.,,,,,,,,
433,,,Building completion and finishing,,,,,,,,
,4330,,Building completion and finishing,,,,,,,,
,,,This class excludes:,,,,,,,,
,,,"- general interior cleaning of buildings and other structures, see 8121",,,,,,,,
,,,"- specialized interior and exterior cleaning of buildings, see 8129",,,,,,,,
,,,"- activities of interior decoration designers, see 7410",,,,,,,,
,,43301,"Installation of doors, windows, door and window frames, fitted kitchens, of",,,,,,,,
,,,wood or other materials,,,,,,,,
,,43302,"Interior completion such as ceilings, wooden wall coverings, movable",,,,,,,,
,,,"partitions etc. ; Laying of parquet and other wood floor coverings, carpets",,,,,,,,
,,,"and linoleum, wallpaper; tiling with ceramic, concrete or cut stone ceramic",,,,,,,,
,,,etc.,,,,,,,,
,,43303,"Interior and exterior painting, glazing, plastering and decorating of buildings",,,,,,,,
,,,or civil engineering structures,,,,,,,,
,,43309,Other building completion and finishing,,,,,,,,
439,,,other specialized construction activities,,,,,,,,
,4390,,other specialized construction activities,,,,,,,,
,,,This class includes construction activities specializing in one aspect common,,,,,,,,
,,,"to different kind of structures, requiring specialized skill or equipment,",,,,,,,,
,,,"subsurface work, construction of outdoor swimming pools, steam cleaning,",,,,,,,,
,,,"sand blasting and similar activities for building exteriors, renting of cranes",,,,,,,,
,,,with operator,,,,,,,,
,,,This class excludes:,,,,,,,,
,,,"- renting of construction machinery and equipment without operator, see 7730",,,,,,,,
,,43900,Other specialized construction activities,,,,,,,,
,,SECTION G : WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR,,,,,,,,,
,,,VEHICLES AND MOTORCYCLES,,,,,,,,
,,DiviSion 45 : WholeSale anD retail traDe anD repair oF motor,,,,,,,,,
,,,vehiCleS anD motorCyCleS,,,,,,,,
451,,,Sale of motor vehicles,,,,,,,,
,4510,,Sale of motor vehicles,,,,,,,,
,,,This class includes wholesale and retail sale of new and used passenger,,,,,,,,
,,,"motor vehicles and lorries, trailers and lorries, trailers and semi trailers",,,,,,,,
,,,This class excludes:,,,,,,,,
,,,#NAME?,,,,,,,,
,,4530,4530,,,,,,,,
,,,"- renting of motor vehicles with driver, see 4922",,,,,,,,
,,,"- renting of trucks with driver, see 4923",,,,,,,,
,,,"- renting of motor vehicles and trucks without driver, see 7710",,,,,,,,
,,45101,"Wholesale and retail sale of new vehicles (passenger motor vehicles,",,,,,,,,
,,,"ambulances, minibuses, jeeps, trucks, trailers and semi-trailers)",,,,,,,,
,,45102,Wholesale and retail sale of used motor vehicles,,,,,,,,
452,,,maintenance and repair of motor vehicles,,,,,,,,
,4520,,maintenance and repair of motor vehicles,,,,,,,,
,,,This class includes maintenance and repair of motor vehicles (mechanical,,,,,,,,
,,,"repairs, electrical repairs, electronic injection systems repair, ordinary",,,,,,,,
,,,"servicing, bodywork repair, repair of motor vehicle parts, washing,",,,,,,,,
,,,"polishing, etc.  spraying and painting, repair of screens and windows,",,,,,,,,
,,,"repair of motor vehicle seats), tyre and tube repair, fitting or replacement,",,,,,,,,
,,,"anti-rust treatment, installation of parts and accessories not as part of the",,,,,,,,
,,,manufacturing process,,,,,,,,
,,,This class excludes:,,,,,,,,
,,,"- retreading and rebuilding of tyres, see 2211",,,,,,,,
,,45200,Maintenance and repair of motor vehicles,,,,,,,,
453,,,Sale of motor vehicle parts and accessories,,,,,,,,
,4530,,Sale of motor vehicle parts and accessories,,,,,,,,
,,,"This class includes wholesale and retail sale of all kinds of parts, components,",,,,,,,,
,,,"supplies, tools and accessories for motor vehicles when not combined with",,,,,,,,
,,,sale of motor vehicles,,,,,,,,
,,45300,Sale of motor vehicle parts and accessories,,,,,,,,
454,,,"Sale, maintenance and repair of motorcycles and related parts and",,,,,,,,
,,,accessories,,,,,,,,
,4540,,"Sale, maintenance and repair of motorcycles and related parts and",,,,,,,,
,,,accessories,,,,,,,,
,,,This class excludes:,,,,,,,,
,,,"- wholesale of bicycles and related parts and accessories, see 4649",,,,,,,,
,,,"- retail sale of bicycles and related parts and accessories, see 4763",,,,,,,,
,,,"- renting of motorcycles, see 7730",,,,,,,,
,,,"- repair and maintenance of bicycles, see 9529",,,,,,,,
,,45401,"Wholesale or retail sale of new motorcycles, mopeds, scooters and three",,,,,,,,
,,,wheelers,,,,,,,,
,,45402,"Wholesale or retail sale of parts and accessories of motorcycles, mopeds,",,,,,,,,
,,,scooters and three wheelers,,,,,,,,
,,45403,"Maintenance and repair of motor cycles, mopeds, scooters and three",,,,,,,,
,,,wheelers,,,,,,,,
461,,461,Wholesale on a fee or contract basis,,,,,,,,
,4610,4610,Wholesale on a fee or contract basis,,,,,,,,
,,,"This class includes activities of commission agents, commodity brokers,",,,,,,,,
,,,auctioneers and all other wholesalers who trade on behalf and on the account,,,,,,,,
,,,of others and activities of those involved in bringing sellers and buyers,,,,,,,,
,,,"together or undertaking commercial transactions on behalf of a principal,",,,,,,,,
,,,including on the internet,,,,,,,,
,,,This class excludes:,,,,,,,,
,,,"- wholesale trade in own name, see 462 to 469",,,,,,,,
,,,"- activities of commission agents for motor vehicles, see 4510",,,,,,,,
,,,"- auctions of motor vehicles, see 4510",,,,,,,,
,,,"- retail sale by non-store commission agents, see 4799",,,,,,,,
,,,"- activities of insurance agents, see 6622",,,,,,,,
,,,"- activities of real estate agents, see 6820",,,,,,,,
,,46101,"Activities of commission agents, brokers dealing in wholesale trade of",,,,,,,,
,,,"agricultural raw material, live animals, food, beverages, intoxicants and",,,,,,,,
,,,textiles,,,,,,,,
,,46102,"Activities of commission agents dealing in wholesale trade inwood, paper,",,,,,,,,
,,,"skin, leather and fur, fuel, petroleum products, chemicals, perfumery and",,,,,,,,
,,,"cosmetics, glass, minerals, ores and metals",,,,,,,,
,,46103,Activities of commission agents dealing in wholesale trade in machinery &,,,,,,,,
,,,"equipment, other than transport machinery",,,,,,,,
,,46109,Activities of other commission agents n.e.c. (including commission agents,,,,,,,,
,,,working in emerging areas for wholesale trade,,,,,,,,
462,,462,Wholesale of agricultural raw materials and live animals,,,,,,,,
,4620,4620,Wholesale of agricultural raw materials and live animals,,,,,,,,
,,,This class excludes:,,,,,,,,
,,,"- wholesale of textile fibres, see 4669",,,,,,,,
,,46201,Wholesale of cereals & pulses,,,,,,,,
,,46202,"Wholesale of un-manufactured tobacco, paan (betel leaf), opium, ganja,",,,,,,,,
,,,cinchona etc,,,,,,,,
,,46203,Wholesale of live animals and poultry,,,,,,,,
,,46204,"Wholesale of straw, fodder & other animal/poultry feed",,,,,,,,
,,46205,Wholesale of flowers and plants,,,,,,,,
,,46206,"Wholesale of hides, skins and leather",,,,,,,,
,,46207,Wholesale of oilseed oleaginous fruits,,,,,,,,
,,46208,Wholesale of sugarcane,,,,,,,,
,,46209,Whole sale of other agriculture raw materials n.e.c.,,,,,,,,
463,,463,"Wholesale of food, beverages and tobacco",,,,,,,,
,4630,4630,"Wholesale of food, beverages and tobacco",,,,,,,,
,,,"This class includes wholesale of fruits and vegetables, dairy products, eggs",,,,,,,,
,,,"& edible oils & fats, meat, fishery products, sugar confectionery & bakery",,,,,,,,
,,,"products, beverages, coffee, tea, cocoa and spices, manufactured tobacco &",,,,,,,,
,,,tobacco products etc.,,,,,,,,
,,,This class excludes:,,,,,,,,
,,,"- blending of wine or distilled spirits, see 1101, 1102",,,,,,,,
,,46301,Wholesale of fruits & vegetables,,,,,,,,
,,46302,Wholesale of raw milk & dairy products,,,,,,,,
,,46303,"Wholesale of meat, fish & eggs",,,,,,,,
,,46304,"Wholesale of confectionery, bakery products and beverages",other,than,,,,,,
,,,intoxicants,,,,,,,,
,,46305,"Wholesale of edible oils, fats, sugar and processed/manufactured spices",,,,,,,,
,,,etc.,,,,,,,,
,,46306,"Wholesale of tea, coffee & cocoa",,,,,,,,
,,46307,Wholesale of manufactured tobacco & tobacco products,,,,,,,,
,,46308,Wholesale of intoxicants like wines and liquors,,,,,,,,
,,46309,Wholesale of other basic/manufactured food stuffs n.e.c.,,,,,,,,
464,,,Wholesale of household goods,,,,,,,,
,4641,,"Wholesale of textiles, clothing and footwear",,,,,,,,
,,,This class excludes:,,,,,,,,
,,,"- wholesale of jewellery and leather goods, see 4649",,,,,,,,
,,,"- wholesale of textile fibres, see 4669",,,,,,,,
,,46411,"Wholesale of textiles, fabrics, yarn, household linen, articles of clothing,",,,,,,,,
,,,"floor coverings and tapestry, sports clothes",,,,,,,,
,,46412,Wholesale of umbrella and clothing accessories,,,,,,,,
,,46413,Wholesale of footwear,,,,,,,,
,,46419,Wholesale of other clothing items n.e.c.,,,,,,,,
,4649,,Wholesale of other household goods,,,,,,,,
,,,This class excludes:,,,,,,,,
,,,"- wholesale of blank audio and video tapes, CDs, DVDs, see 4652",,,,,,,,
,,,"- wholesale of office furniture, see 4659",,,,,,,,
,,46491,"Wholesale of toiletry, perfumery and cosmetics",,,,,,,,
,,46492,"Wholesale of metal, porcelain and glass utensils; crockery and chinaware",,,,,,,,
,,46493,Wholesale of furniture and fixtures,,,,,,,,
,,46494,"Wholesale of watches, clocks and optical goods",,,,,,,,
,,46495,"Wholesale of recorded audio or video tapes, CDs and DVDs",,,,,,,,
,,46496,"Wholesale of paper and other stationery items; books, magazines",,and,,,,,,
,,,newspapers,,,,,,,,
,,46497,Wholesale of pharmaceutical and medical goods,,,,,,,,
,,46498,Wholesale of precious metals and jewellery,,,,,,,,
,,46499,"Wholesale of other households goods, n.e.c. [Includes wholesale",,of,,,,,,
,,,"household equipment and appliances, n.e.c; photographic equipment, games,",,,,,,,,
,,,"toys and sports goods (also includes bicycles, cycle rickshaw, tonga & other",,,,,,,,
,,,non-mechanised vehicles); leather goods and travel accessories; cleaning,,,,,,,,
,,,materials etc.],,,,,,,,
465,,,"Wholesale of machinery, equipment and supplies",,,,,,,,
,4651,,"Wholesale of computers, computer peripheral equipment and software",,,,,,,,
,,,This class excludes:,,,,,,,,
,,,"- wholesale of electronic parts, see 4652",,,,,,,,
,,,"- wholesale of office machinery and equipment, (except computers and",,,,,,,,
,,,"peripheral equipment), see 4659",,,,,,,,
,,,"- wholesale of computer-controlled machinery, see 4659",,,,,,,,
,,46511,Wholesale of computers and computer peripheral equipment,,,,,,,,
,,46512,Wholesale of software,,,,,,,,
,4652,,Wholesale of electronic and telecommunications equipment and parts,,,,,,,,
,,,This class excludes:,,,,,,,,
,,,"- wholesale of recorded audio and video tapes, CDs, DVDs, see 4649",,,,,,,,
,,,"- wholesale of computers and computer peripheral equipment, see 4651",,,,,,,,
,,46521,"Wholesale of electronic valves and tubes, semiconductor devices, microchips,",,,,,,,,
,,,integrated circuits and printed circuits,,,,,,,,
,,46522,"Wholesale of radio, television and other consumer electronics including CD/",,,,,,,,
,,,DVD players and recorders,,,,,,,,
,,46523,"Wholesale of blank audio and video tapes and diskettes, magnetic and optical",,,,,,,,
,,,"disks (CDs, DVDs) and parts",,,,,,,,
,,46524,"Wholesale of telephone, mobile phone and communications equipment and",,,,,,,,
,,,parts,,,,,,,,
,,46529,Wholesale of other electronic equipments and parts thereof,,,,,,,,
,4653,,"Wholesale of agricultural machinery, equipment and supplies",,,,,,,,
,,46531,Wholesale of tractors used in agriculture and forestry,,,,,,,,
,,46532,"Wholesale of ploughs, manure spreaders, seeders, harvesters, threshers",,,,,,,,
,,46533,"Wholesale of milking machines, poultry-keeping machines, bee-keeping",,,,,,,,
,,,machines,,,,,,,,
,,46539,Wholesale of other agriculture machinery n.e.c.,,,,,,,,
,4659,,Wholesale of other machinery and equipment,,,,,,,,
,,,This class excludes:,,,,,,,,
,,,"- wholesale of motor vehicles, trailers and caravans, see 4510",,,,,,,,
,,,"- wholesale of motor vehicle parts, see 4530",,,,,,,,
,,,"- wholesale of motorcycles, see 4540",,,,,,,,
,,,"- wholesale of bicycles, see 4649",,,,,,,,
,,,"- wholesale of computers and peripheral equipment, see 4651",,,,,,,,
,,,"- wholesale of electronic parts and telephone and communications equipment,",,,,,,,,
,,,see 4652,,,,,,,,
,,46591,"Wholesale of office machinery and equipment, except computers and",,,,,,,,
,,,computer peripheral equipment,,,,,,,,
,,46592,"Wholesale of transport equipment except motor vehicles, motorcycles and",,,,,,,,
,,,bicycles,,,,,,,,
,,46593,"Wholesale of electrical machinery, equipment and supplies, n.e.c.",,,,,,,,
,,46594,Wholesale of construction and civil engineering machinery and equipment,,,,,,,,
,,46595,"Wholesale of machinery and equipment for the textile, wood and metal",,,,,,,,
,,,industries etc.,,,,,,,,
,,46596,"Wholesale of scientific, medical and surgical machinery and equipment",,,,,,,,
,,46599,"Wholesale of other machinery, equipment and supplies n.e.c. including",,,,,,,,
,,,computer-controlled machine tools and computer-controlled sewing and,,,,,,,,
,,,knitting machines,,,,,,,,
466,,,other specialized wholesale,,,,,,,,
,4661,,"Wholesale of solid, liquid and gaseous fuels and related products",,,,,,,,
,,,"This class includes wholesale of fuels, greases, lubricants, oils such as:",,,,,,,,
,,,"charcoal, coal, coke, fuel wood, naphtha,  crude petroleum, crude oil, diesel",,,,,,,,
,,,"fuel, gasoline, fuel oil, heating oil, kerosene, liquefied petroleum gases,",,,,,,,,
,,,"butane and propane gas,  lubricating oils and greases, refined petroleum",,,,,,,,
,,,products,,,,,,,,
,,46610,"Wholesale of solid, liquid and gaseous fuels and related products",,,,,,,,
,4662,,Wholesale of metals and metal ores,,,,,,,,
,,,"This class includes wholesale of ferrous and non-ferrous metal ores,",,,,,,,,
,,,"wholesale of ferrous and non-ferrous metals in primary forms, wholesale",,,,,,,,
,,,of ferrous and non-ferrous semi-finished metal products n.e.c.  wholesale of,,,,,,,,
,,,gold and other precious metals,,,,,,,,
,,,This class excludes:,,,,,,,,
,,,"- wholesale of metal scrap, see 4669",,,,,,,,
,,46620,Wholesale of metals and metal ores,,,,,,,,
,4663,,"Wholesale of construction materials, hardware, plumbing and heating",,,,,,,,
,,,equipment and supplies,,,,,,,,
,,46631,Wholesale of wood in the rough and products of primary processing of,,,,,,,,
,,,wood,,,,,,,,
,,46632,"Wholesale of construction materials (sand, gravel etc.)",,,,,,,,
,,46633,Wholesale of hardware and sanitary fittings and fixtures and flat glass,,,,,,,,
,,,"including tools such as hammers, saws, screwdrivers and other hand tools",,,,,,,,
,,46634,"Wholesale of paints, varnishes, and lacquers",,,,,,,,
,,46639,Wholesale of other construction equipment n.e.c.,,,,,,,,
,4669,,Wholesale of waste and scrap and other products n.e.c.,,,,,,,,
,,,This class excludes:,,,,,,,,
,,,"- collection of household and industrial waste, see 381",,,,,,,,
,,,#NAME?,,,,,,,,
